Date,Year,Month,Day of Week,Season,Temperature (°C),Climate Type,Humidity (%),Wind Speed (km/h),Rainfall (mm),Holiday,Population Density (people/sq.km),Industrial Activity Index,Residential-Commercial Power Ratio (%),Air Quality Index (AQI),Solar Radiation (W/m²),Power Consumption (MW)
10/5/14 2:31,2014,10,Sunday,Autumn,12.3,Cloudy,66.7,26.8,74.2,No,13097.5,87.1,69.9,281.8,566.8,3373.4
10/6/14 2:31,2014,10,Monday,Autumn,43.2,Clear,57,25.7,146.1,No,17010.2,42.6,65.2,115.7,168.2,4486.2
10/7/14 2:31,2014,10,Tuesday,Autumn,43.8,Clear,85.5,37.2,82.1,No,25844.7,23.2,64.4,116.7,602,4889
10/8/14 2:31,2014,10,Wednesday,Autumn,38.3,Rainy,74.7,33.7,55.9,No,11694,27.3,65.6,323.9,529.8,4708.6
10/9/14 2:31,2014,10,Thursday,Autumn,20.7,Cloudy,34.7,25.9,121.9,No,22006.8,22,73.4,424.1,293.8,3252.2
10/10/14 2:31,2014,10,Friday,Autumn,13.4,Clear,85.7,13.7,137.4,No,12712.6,54.1,75.7,386.5,109.1,3567.6
10/11/14 2:31,2014,10,Saturday,Autumn,33.9,Rainy,54.3,31.2,91.9,No,18710.6,86.9,87.4,345,384.4,4157.6
10/12/14 2:31,2014,10,Sunday,Autumn,25.4,Cloudy,35.1,23,113.1,No,29319.5,77.4,71.4,127.4,333.5,3595.8
10/13/14 2:31,2014,10,Monday,Autumn,14.3,Cloudy,42.5,39.4,138.8,Yes,13902.9,79.6,66.5,98.8,534.6,2156.7
10/14/14 2:31,2014,10,Tuesday,Autumn,27.3,Rainy,41.4,9.9,153.5,No,10680.3,44.8,82.3,50.1,785.4,3814.9
10/15/14 2:31,2014,10,Wednesday,Autumn,11.2,Rainy,61.5,3.2,179.1,No,18544.1,32.2,64,95.8,495.1,3216.2
10/16/14 2:31,2014,10,Thursday,Autumn,41.8,Rainy,38.7,2.8,70.9,Yes,21553.9,75.7,86.8,394.9,956.4,4568.3
10/17/14 2:31,2014,10,Friday,Autumn,19.1,Rainy,29.9,25.6,190.3,No,15950.4,79.3,72.3,452.9,299.2,2788.2
10/18/14 2:31,2014,10,Saturday,Autumn,33.2,Rainy,29.9,37.6,127.5,No,20835.4,69.5,78.4,158.2,298.9,3569.7
10/19/14 2:31,2014,10,Sunday,Autumn,20.9,Clear,66.7,0.1,157.5,Yes,29068,3.2,65.6,407.7,644,3422.9
10/20/14 2:31,2014,10,Monday,Autumn,28.2,Clear,78.8,29,140,No,16235.4,59,64.4,139.5,906.6,3917.5
10/21/14 2:31,2014,10,Tuesday,Autumn,29.1,Cloudy,45.7,26.3,41.1,Yes,16188.5,34.7,84,162.2,704.7,3682.7
10/22/14 2:31,2014,10,Wednesday,Autumn,16.5,Clear,22.8,29.3,14.3,No,19655.4,19.6,72.9,150.9,706.3,3393.9
10/23/14 2:31,2014,10,Thursday,Autumn,43.9,Clear,30.2,14.2,145.3,No,20306.3,69.4,89.6,73.3,825.7,4487.9
10/24/14 2:31,2014,10,Friday,Autumn,37.1,Clear,93.2,32.8,102.2,No,10027.3,26.9,75.7,137.3,701.8,4620.8
10/25/14 2:31,2014,10,Saturday,Autumn,42.9,Rainy,59.5,1.8,140.4,No,22317.5,91.3,85.4,218.1,783.4,5001
10/26/14 2:31,2014,10,Sunday,Autumn,41.3,Cloudy,56.3,30.2,95.4,Yes,29947.1,29.8,89.4,232.5,879.5,4047.6
10/27/14 2:31,2014,10,Monday,Autumn,30.9,Cloudy,23,10.7,62.4,Yes,15840.2,55.5,68.4,189.3,107.1,3750.9
10/28/14 2:31,2014,10,Tuesday,Autumn,42.3,Cloudy,78.3,19.1,57,Yes,22616.2,82.8,84,281.6,897.1,4729.7
10/29/14 2:31,2014,10,Wednesday,Autumn,13.1,Cloudy,62.2,32.9,146.1,No,10092.4,40.2,60.7,220.1,293.7,2888.7
10/30/14 2:31,2014,10,Thursday,Autumn,16.9,Clear,36.2,10.9,55.4,No,22086.5,82.9,80.4,486.7,920.9,3710.8
10/31/14 2:31,2014,10,Friday,Autumn,11.6,Clear,28.8,7.4,142.9,No,18941.4,72.4,82.4,413.3,339.6,3004.4
11/1/14 2:31,2014,11,Saturday,Autumn,21.4,Rainy,50.7,27.3,76.8,No,20605.9,92.1,74.3,468.9,509.7,3647
11/2/14 2:31,2014,11,Sunday,Autumn,23.6,Cloudy,87,21.3,154.2,No,20878.1,32.6,64.9,300.8,940.5,3852.3
11/3/14 2:31,2014,11,Monday,Autumn,19.5,Clear,89.2,20.6,28.6,No,13539.1,10.5,78.5,355.3,198.8,4312.8
11/4/14 2:31,2014,11,Tuesday,Autumn,39,Clear,68.2,10.3,41,No,25399.4,43,86.9,125,770.8,5222.2
11/5/14 2:31,2014,11,Wednesday,Autumn,22.5,Rainy,78.2,1.4,137.2,No,21109.4,78.6,87.9,388.8,453.2,4192.5
11/6/14 2:31,2014,11,Thursday,Autumn,19.8,Rainy,29.2,16.4,112,Yes,15403.9,45,82.4,156.2,121.7,2895.3
11/7/14 2:31,2014,11,Friday,Autumn,29,Rainy,67.1,4.3,40.8,No,28747.6,26.2,67.9,115.6,945.2,4831.1
11/8/14 2:31,2014,11,Saturday,Autumn,14.9,Clear,73.4,36.2,180.6,No,10255.5,2.8,86.1,68.8,206,2852.6
11/9/14 2:31,2014,11,Sunday,Autumn,38.1,Clear,36.1,1.7,55.2,No,24518.7,31.3,86.7,262.5,796.7,4955.5
11/10/14 2:31,2014,11,Monday,Autumn,12.6,Rainy,90.4,17.3,84.2,No,17624.7,71.3,71,179.1,445.8,3768.2
11/11/14 2:31,2014,11,Tuesday,Autumn,44.5,Cloudy,35.6,2.1,40.5,No,20450.9,14.8,65.5,494,829.5,5339
11/12/14 2:31,2014,11,Wednesday,Autumn,37,Rainy,45.1,3.8,77.6,Yes,15830.2,34.1,86.2,162.4,775.3,4337.7
11/13/14 2:31,2014,11,Thursday,Autumn,17,Rainy,69.6,26.4,98.3,No,16425,2,86.6,439.9,669.9,3525.5
11/14/14 2:31,2014,11,Friday,Autumn,10.2,Rainy,71.1,25.9,59,No,10303.3,72.2,63,192.4,945.3,3407.4
11/15/14 2:31,2014,11,Saturday,Autumn,38.5,Rainy,76,1.3,153.8,Yes,24596.9,88.1,89,387.1,189,4391
11/16/14 2:31,2014,11,Sunday,Autumn,34.7,Clear,29,0,78.8,No,24216,56.9,76,346.9,818.7,4631.8
11/17/14 2:31,2014,11,Monday,Autumn,35.5,Cloudy,88,3.2,145.9,No,23087.2,2.6,89.8,302.8,703.7,4862.8
11/18/14 2:31,2014,11,Tuesday,Autumn,37,Rainy,62.6,30.5,41.4,No,27559,21.8,73.4,237.6,383.2,4658.5
11/19/14 2:31,2014,11,Wednesday,Autumn,12.6,Cloudy,57.7,23.4,75.4,No,28025.4,43.8,76,352,591.4,3361.9
11/20/14 2:31,2014,11,Thursday,Autumn,22.5,Cloudy,98.5,1.5,1.6,No,21128.9,58.8,68,233.3,680.2,5073.6
11/21/14 2:31,2014,11,Friday,Autumn,14.1,Cloudy,79.2,19.5,151.7,No,23696.5,49.6,87,296.6,762.6,3346
11/22/14 2:31,2014,11,Saturday,Autumn,40.2,Rainy,29.4,28.5,125.2,No,10220,91.6,73.3,315.4,268.4,4109.3
11/23/14 2:31,2014,11,Sunday,Autumn,31.8,Clear,80.5,34.8,163.6,No,26926.9,93.9,84.4,170.3,191.9,3883
11/24/14 2:31,2014,11,Monday,Autumn,21.6,Rainy,27.6,37.4,91.1,No,26328.3,10.7,62.4,202.9,191.9,3152.4
11/25/14 2:31,2014,11,Tuesday,Autumn,12.2,Cloudy,22.2,13.1,159.9,No,10405,13.8,83.6,58.1,364.5,2771.5
11/26/14 2:31,2014,11,Wednesday,Autumn,20.9,Cloudy,52.3,5.4,129.5,Yes,20856.5,35.8,74.7,433.5,238.8,3310.9
11/27/14 2:31,2014,11,Thursday,Autumn,21.4,Clear,99.5,9.5,0.7,No,28133.1,42.1,60.2,390.2,582.1,4870.8
11/28/14 2:31,2014,11,Friday,Autumn,35.5,Rainy,34,31,50.7,No,13627.8,58.6,66.8,132.6,493.3,4242.1
11/29/14 2:31,2014,11,Saturday,Autumn,32.3,Cloudy,73.8,38.9,98.8,No,17052.9,77.3,65.8,212.9,903.8,4082.8
11/30/14 2:31,2014,11,Sunday,Autumn,41.1,Clear,33.9,18.7,123.7,No,16621.1,13.6,82.6,239.5,745.7,4399.5
12/1/14 2:31,2014,12,Monday,Winter,26.5,Cloudy,78,12.2,13.1,No,17118.8,80.3,74.3,200.5,285.2,4796.3
12/2/14 2:31,2014,12,Tuesday,Winter,14.2,Clear,60.4,17.2,141,Yes,10837.7,61,64.8,409.2,141.2,2765.1
12/3/14 2:31,2014,12,Wednesday,Winter,35,Clear,74.4,12.2,108.7,Yes,15580.4,98.1,67.7,376.4,738.2,4204.8
12/4/14 2:31,2014,12,Thursday,Winter,36.6,Rainy,36.2,10.3,105.2,Yes,15897.1,65.1,75.1,395.2,861.2,3962.7
12/5/14 2:31,2014,12,Friday,Winter,29.6,Cloudy,79.7,23.8,58.4,No,27317.4,71.6,60.6,456.9,730.9,4511.7
12/6/14 2:31,2014,12,Saturday,Winter,37,Rainy,99.6,0.6,119,Yes,17042.3,19.5,72.7,317.8,679.4,4738.3
12/7/14 2:31,2014,12,Sunday,Winter,27.3,Cloudy,73.3,10.4,5.5,No,18944.3,76.9,80.3,326.5,324.4,4861.5
12/8/14 2:31,2014,12,Monday,Winter,28.3,Rainy,59.5,26.5,12.9,No,17614.8,7.9,75.5,374.9,545.1,4415.8
12/9/14 2:31,2014,12,Tuesday,Winter,25,Cloudy,93.9,1.3,146.8,No,12413.5,65.7,77.9,356.6,752.5,4427.2
12/10/14 2:31,2014,12,Wednesday,Winter,10.9,Rainy,21.3,3.3,64.4,No,29807.1,5.6,69.8,441.4,274,3368.7
12/11/14 2:31,2014,12,Thursday,Winter,13.8,Clear,78.4,11.7,69.4,No,26516.5,11.5,65.5,396.6,528.9,3891.1
12/12/14 2:31,2014,12,Friday,Winter,11.1,Cloudy,91.1,35.1,41.7,No,20818.4,10.8,84.3,104.2,205.3,3555.4
12/13/14 2:31,2014,12,Saturday,Winter,32.3,Cloudy,24.9,30.6,89.1,No,19527.3,5.2,87.2,467.8,577.6,3805.5
12/14/14 2:31,2014,12,Sunday,Winter,21,Clear,56,0.9,10.4,Yes,22985.1,32.1,75.3,357.4,616.2,4040.5
12/15/14 2:31,2014,12,Monday,Winter,27.8,Rainy,36.4,20.1,60.1,No,16528.6,99.4,69.2,107.2,581.8,4052
12/16/14 2:31,2014,12,Tuesday,Winter,41.8,Cloudy,65.3,11,105.4,No,11005.7,34.8,75.3,397.4,522.5,4994.6
12/17/14 2:31,2014,12,Wednesday,Winter,18.7,Cloudy,72,25.9,93.1,No,18086.3,76.1,86.4,211.3,628.7,3671.3
12/18/14 2:31,2014,12,Thursday,Winter,24.4,Rainy,44.2,28.9,199.9,No,29679.6,13.2,80.7,412.7,997.1,3083.4
12/19/14 2:31,2014,12,Friday,Winter,36.4,Clear,56.8,34.5,77.8,No,13646.9,45.4,85.8,479.9,660.3,4311.1
12/20/14 2:31,2014,12,Saturday,Winter,18,Rainy,42.3,19,77.4,No,20554.1,18.5,69.9,164.9,777.3,3556.5
12/21/14 2:31,2014,12,Sunday,Winter,12.7,Rainy,49.6,39.8,100.7,No,10170.4,19.2,81.4,435.8,272.9,2831.1
12/22/14 2:31,2014,12,Monday,Winter,20.1,Rainy,32.8,39.2,38.1,No,12440.6,10,79.6,398.1,577,3360.4
12/23/14 2:31,2014,12,Tuesday,Winter,15.6,Cloudy,90.8,35.3,175.3,No,21743.8,43.2,77.1,352,106.8,3108.5
12/24/14 2:31,2014,12,Wednesday,Winter,42.5,Clear,20.8,23,114.5,No,15948.3,7.6,75.8,223.2,128.3,4302.8
12/25/14 2:31,2014,12,Thursday,Winter,38.3,Clear,90.6,15.9,38.4,No,28113.7,91,76.5,99.4,390.2,5309.6
12/26/14 2:31,2014,12,Friday,Winter,32.2,Rainy,65.7,14.6,158.7,No,18123.4,44.8,85.5,267.8,519.9,4180.8
12/27/14 2:31,2014,12,Saturday,Winter,40.5,Cloudy,46.5,0.5,6.9,Yes,14160.7,83.9,87.5,97.5,618.1,4946.4
12/28/14 2:31,2014,12,Sunday,Winter,38.1,Rainy,77.8,10,196.5,No,20911.8,97.9,63.4,275.1,899.2,4503
12/29/14 2:31,2014,12,Monday,Winter,16.5,Cloudy,60.6,28.8,173,No,25899.5,67.8,77.1,419.1,794.6,2992.5
12/30/14 2:31,2014,12,Tuesday,Winter,41.2,Cloudy,59.9,24.1,115.9,No,10388.4,90.2,87.6,498.9,370,4598.7
12/31/14 2:31,2014,12,Wednesday,Winter,28.9,Cloudy,28.8,36.7,22.3,No,20110.4,13.5,64,139.1,769.1,3887.5
1/1/15 2:31,2015,1,Thursday,Winter,38.3,Cloudy,51.2,2,43.1,Yes,25468.5,83,72.4,143.5,594.5,4669.3
1/2/15 2:31,2015,1,Friday,Winter,41.4,Clear,39.3,6.2,55.9,No,12071.8,27.1,62.7,414.9,801.3,5057.4
1/3/15 2:31,2015,1,Saturday,Winter,21.1,Cloudy,21.3,31.6,48.2,Yes,28056,47.3,63.4,261.1,469.9,2896.6
1/4/15 2:31,2015,1,Sunday,Winter,13.9,Cloudy,48.8,14.3,99.5,No,15290.3,64.7,87.1,462.1,182.7,3396.3
1/5/15 2:31,2015,1,Monday,Winter,18,Rainy,27.2,4.7,188.9,No,13412.1,90.4,73.4,396,656.6,3131.5
1/6/15 2:31,2015,1,Tuesday,Winter,24.9,Rainy,40.5,39.9,88.8,No,21785.1,91.1,80.7,381.4,601.3,3411.6
1/7/15 2:31,2015,1,Wednesday,Winter,38.6,Clear,27.4,31.5,132.3,No,13500.6,9.2,64.2,95.9,958.2,3914.2
1/8/15 2:31,2015,1,Thursday,Winter,40.1,Rainy,28.1,16.3,137.7,No,23594,36.5,60.7,66.1,245.9,4271.5
1/9/15 2:31,2015,1,Friday,Winter,10.2,Cloudy,35.9,32.9,174.3,No,19802,79.3,86.7,192.5,690.5,2341.1
1/10/15 2:31,2015,1,Saturday,Winter,27.9,Rainy,100,27.2,6.8,No,12199.1,70.3,77.2,147.8,526.7,4815.4
1/11/15 2:31,2015,1,Sunday,Winter,24.6,Clear,20.2,31.6,80.9,No,28249.8,2.6,60.6,370.5,441,3395.9
1/12/15 2:31,2015,1,Monday,Winter,17.8,Rainy,71.1,32.6,156.9,Yes,23464.1,45,89.8,252.8,815.1,2662.7
1/13/15 2:31,2015,1,Tuesday,Winter,14.2,Rainy,31.3,3.4,163,Yes,20919.9,82.9,74.8,285.4,829.6,2640.1
1/14/15 2:31,2015,1,Wednesday,Winter,21.8,Clear,93.7,24.9,185.5,No,17486.8,73.8,74.3,416.2,743.1,3601.6
1/15/15 2:31,2015,1,Thursday,Winter,43,Clear,27.5,0.3,140.6,No,12697.2,41.2,78.6,265.3,175.2,4716.8
1/16/15 2:31,2015,1,Friday,Winter,21.3,Cloudy,96.4,1.7,49,No,24150.4,73.5,60.2,295.2,410.6,4749.7
1/17/15 2:31,2015,1,Saturday,Winter,28.2,Rainy,68.9,36.2,101.1,No,26273.1,55.1,77.1,429,142.1,3867.8
1/18/15 2:31,2015,1,Sunday,Winter,34.6,Cloudy,20.1,21.1,6.5,No,12516.4,91.3,78.9,244.1,409.3,4476.9
1/19/15 2:31,2015,1,Monday,Winter,22.7,Rainy,91.5,29.4,129.4,No,19891.4,58.7,68.9,87.4,683.1,3815.9
1/20/15 2:31,2015,1,Tuesday,Winter,44,Rainy,61.7,33.5,110.9,No,19696.9,40.1,81.8,284.8,566.8,4592.9
1/21/15 2:31,2015,1,Wednesday,Winter,43.7,Cloudy,41,38,133.4,No,16998.2,86.3,71.3,310.7,732.6,4167.9
1/22/15 2:31,2015,1,Thursday,Winter,18.8,Rainy,81.4,34.8,186,No,25786.8,5,81.5,280.3,596.3,3128.8
1/23/15 2:31,2015,1,Friday,Winter,27.4,Rainy,94.1,19.3,137.5,No,11990.6,90.1,64.3,166.1,600.2,4237.6
1/24/15 2:31,2015,1,Saturday,Winter,20.5,Rainy,58.7,13.4,64.1,Yes,14100.4,69.6,87.4,150.7,559.9,3524.3
1/25/15 2:31,2015,1,Sunday,Winter,20,Clear,45.2,6.2,39.7,No,10032.1,94.1,86.4,216.4,427.9,4128.6
1/26/15 2:31,2015,1,Monday,Winter,11.3,Cloudy,83.1,16,170.9,Yes,17459.7,25.1,64.5,124.8,501.9,2720.8
1/27/15 2:31,2015,1,Tuesday,Winter,31.3,Clear,74.5,14.7,38.9,No,15823.6,69.5,88.2,349.7,201.2,4824.6
1/28/15 2:31,2015,1,Wednesday,Winter,27.6,Cloudy,91.1,22.4,32.3,No,27339.9,80.9,76.7,326.6,851.1,4681.4
1/29/15 2:31,2015,1,Thursday,Winter,11.8,Cloudy,75.4,26.6,41.3,No,24916.2,70.2,81,334.6,900.3,3605.1
1/30/15 2:31,2015,1,Friday,Winter,19.8,Rainy,39.5,39.1,101.8,No,11689.4,21,85.2,151.2,789.6,3091
1/31/15 2:31,2015,1,Saturday,Winter,41.8,Cloudy,94.5,29.1,24.8,No,24819.1,27.6,62.5,160.9,625.2,5327.9
2/1/15 2:31,2015,2,Sunday,Winter,18.4,Clear,28.4,25.7,187.6,No,23508,56.7,65.1,404.3,612.3,2750
2/2/15 2:31,2015,2,Monday,Winter,15.1,Clear,41.4,13.4,193.3,No,15634.5,44.7,68.7,360.6,523.3,2933.6
2/3/15 2:31,2015,2,Tuesday,Winter,27.1,Clear,61.6,1.4,194.8,No,10309.2,73.5,74.3,443.8,308.2,3971.3
2/4/15 2:31,2015,2,Wednesday,Winter,44.5,Cloudy,65.3,11.5,7.8,No,12303.2,37.9,70.4,231.6,445.4,5607.9
2/5/15 2:31,2015,2,Thursday,Winter,18.5,Clear,21.2,30.7,189.2,No,14998.8,85.9,75.2,296.3,990.9,2574.9
2/6/15 2:31,2015,2,Friday,Winter,33.5,Cloudy,82.4,8.2,199.5,No,26332.4,43.2,65.6,382.4,231.2,4339.1
2/7/15 2:31,2015,2,Saturday,Winter,36.7,Clear,48.9,28.5,188.5,No,19306.3,4,80.5,488.4,588.4,3809.9
2/8/15 2:31,2015,2,Sunday,Winter,18.3,Clear,52.5,23.2,134.2,No,28367.9,1.7,61.7,495.3,879.9,3306.2
2/9/15 2:31,2015,2,Monday,Winter,35.5,Cloudy,84.7,6.9,140.2,No,25783,64.7,70.8,499.6,507.7,4783.2
2/10/15 2:31,2015,2,Tuesday,Winter,22.9,Clear,50.3,10.5,24.5,No,15742.2,54.1,65.4,450.7,645,4315.5
2/11/15 2:31,2015,2,Wednesday,Winter,32.1,Rainy,23.8,19.9,174.9,No,26907.2,54.3,81.9,337.8,845,3573
2/12/15 2:31,2015,2,Thursday,Winter,32.2,Cloudy,34.1,16.7,11.9,No,12334.5,79,86.5,53.1,592.8,4555.5
2/13/15 2:31,2015,2,Friday,Winter,28.8,Cloudy,96.5,31.1,63.5,No,10722.4,37.6,62.4,364.8,758.3,4461.7
2/14/15 2:31,2015,2,Saturday,Winter,13.2,Cloudy,25.6,29.4,198.2,No,22170.8,99.5,83.6,157.4,412.5,2335.7
2/15/15 2:31,2015,2,Sunday,Winter,39.2,Rainy,48.4,23,84.5,No,16834.9,94.6,86.9,75.7,759.7,4563.7
2/16/15 2:31,2015,2,Monday,Winter,21.2,Cloudy,60.3,32.9,26.2,No,16588.5,1.3,89.2,363.7,136.9,3874.9
2/17/15 2:31,2015,2,Tuesday,Winter,16.5,Clear,59.5,22.5,193.9,Yes,23744.2,89.6,77.4,390.2,237.6,2501.6
2/18/15 2:31,2015,2,Wednesday,Winter,11.4,Clear,20.3,38.6,196.8,No,27002.1,68.1,69.8,346.7,673.6,2018.9
2/19/15 2:31,2015,2,Thursday,Winter,30.7,Clear,60.1,8.7,37.4,No,16443.5,50.2,69.7,214.3,504.1,4774.2
2/20/15 2:31,2015,2,Friday,Winter,33.7,Cloudy,50.7,28.6,173,No,16500.3,58.3,71.4,280,845.5,3756.6
2/21/15 2:31,2015,2,Saturday,Winter,10.6,Clear,97.8,14.8,78.1,No,20677,84.2,78.4,470.7,407.8,3820.3
2/22/15 2:31,2015,2,Sunday,Winter,27.9,Cloudy,32.7,11.2,76.3,No,23063.7,95.1,74.7,378.3,790.5,4118.9
2/23/15 2:31,2015,2,Monday,Winter,17.9,Clear,48.3,7.2,52.5,No,14058.1,56,79.6,277.1,225.2,3972.7
2/24/15 2:31,2015,2,Tuesday,Winter,32.6,Rainy,53.6,22.1,8.9,Yes,28253.6,18.1,61.2,317.1,937.1,4177.9
2/25/15 2:31,2015,2,Wednesday,Winter,16.1,Rainy,51.3,8.6,53.6,Yes,23088.3,64,63.2,467.5,476.6,3377.3
2/26/15 2:31,2015,2,Thursday,Winter,34.2,Rainy,73.3,8,10.8,No,22503.2,7.6,89.3,227.2,307.8,5227.7
2/27/15 2:31,2015,2,Friday,Winter,23.5,Rainy,37.2,39.6,184.9,No,28083.9,63.5,89.9,95.8,810.2,2832.4
2/28/15 2:31,2015,2,Saturday,Winter,42.8,Cloudy,37.7,32.1,132.3,No,28145.3,80.9,82.4,196.6,953.1,4213
3/1/15 2:31,2015,3,Sunday,Summer,14.8,Clear,78.3,29.9,177.3,No,12711,35.3,67.7,236.8,926.3,3038.8
3/2/15 2:31,2015,3,Monday,Summer,21.9,Rainy,60,31.8,143.5,No,12901.5,7.1,88.6,172.8,314.1,3344.6
3/3/15 2:31,2015,3,Tuesday,Summer,14,Cloudy,53.2,38.8,26.3,Yes,25239,69.2,66.4,288,704.8,2824.3
3/4/15 2:31,2015,3,Wednesday,Summer,42.4,Rainy,33.5,22.9,188.1,No,29137.6,33.9,81.9,187.2,592.2,4054.4
3/5/15 2:31,2015,3,Thursday,Summer,40.7,Rainy,35,8.8,180,No,23330.3,24.9,63.5,96.4,752.6,4309.3
3/6/15 2:31,2015,3,Friday,Summer,19,Cloudy,20.8,34.5,69.6,No,18226.3,68.9,79.5,134.6,538.2,3122
3/7/15 2:31,2015,3,Saturday,Summer,33.1,Cloudy,27.3,29.7,22.3,No,23669.5,97,82.8,463.2,522.8,4222.4
3/8/15 2:31,2015,3,Sunday,Summer,38.6,Clear,64.5,16.6,140.8,No,14576.2,74.5,85.8,333.3,894.4,4540
3/9/15 2:31,2015,3,Monday,Summer,29.4,Clear,91.3,18.9,145.7,No,29959.3,49.1,82,191.4,884.1,4277.9
3/10/15 2:31,2015,3,Tuesday,Summer,28.5,Rainy,43,16.5,179.4,No,18621.7,60.1,87.7,215.1,808.8,3630.8
3/11/15 2:31,2015,3,Wednesday,Summer,18.5,Rainy,46.2,37.2,10.5,No,28633.7,14.2,75.6,272,734.4,3588.8
